symbol,bidPrice,bidQty,askPrice,askQty
BCNBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCNETH,0.00000700,3458.00000000,0.00000000,0.00000000
BCNBNB,0.00000000,0.00000000,0.00000000,0.00000000
REPBTC,0.00063860,0.15700000,0.00064100,9.39800000
REPETH,0.00939000,3.14400000,0.00951000,0.96000000
REPBNB,0.00000000,0.00000000,0.00000000,0.00000000
BTCTUSD,38748.82000000,0.06118200,38869.92000000,0.08213300
TUSDBTC,0.00000000,0.00000000,0.00000000,0.00000000
ETHTUSD,2620.79000000,0.70127000,2630.46000000,0.99000000
TUSDETH,0.00000000,0.00000000,0.00000000,0.00000000
TUSDBNB,0.00000000,0.00000000,0.00000000,0.00000000
ZENBTC,0.00273480,6.48000000,0.00274180,40.94000000
ZENETH,0.04045000,0.00300000,0.04059000,46.40400000
ZENBNB,0.31110000,1.33000000,0.31290000,123.23000000
SKYBTC,0.00003830,9.00000000,0.00003852,281.00000000
SKYETH,0.00000000,0.00000000,0.00000000,0.00000000
SKYBNB,0.00000000,0.00000000,0.00000000,0.00000000
EOSUSDT,5.37400000,372.16000000,5.37550000,121.19000000
EOSBNB,0.01576000,2593.87000000,0.01580000,2622.48000000
CVCBTC,0.00000819,15945.00000000,0.00000822,3638.00000000
CVCETH,0.00012076,3140.00000000,0.00012236,2483.00000000
CVCBNB,0.00000000,0.00000000,0.00000000,0.00000000
THETABTC,0.00017050,50.00000000,0.00017069,50.00000000
THETAETH,0.00251690,76.00000000,0.00252280,2204.00000000
THETABNB,0.01935500,20.00000000,0.01943700,2973.00000000
XRPBNB,0.00270800,19.60000000,0.00271700,3020.00000000
TUSDUSDT,0.99840000,154010.27000000,0.99850000,518.96000000
IOTAUSDT,1.07760000,32.43000000,1.07780000,527.95000000
XLMUSDT,0.43136000,2245.90000000,0.43153000,1592.00000000
IOTXBTC,0.00000089,86048.00000000,0.00000090,790839.00000000
IOTXETH,0.00001315,228359.00000000,0.00001320,15000.00000000
QKCBTC,0.00000046,321226.00000000,0.00000047,3451658.00000000
QKCETH,0.00000680,3204.00000000,0.00000684,314042.00000000
AGIBTC,0.00000605,101.00000000,0.00000606,331.00000000
AGIETH,0.00000000,0.00000000,0.00000000,0.00000000
AGIBNB,0.00000000,0.00000000,0.00000000,0.00000000
NXSBTC,0.00002001,686.00000000,0.00002008,189.00000000
NXSETH,0.00000000,0.00000000,0.00000000,0.00000000
NXSBNB,0.00000000,0.00000000,0.00000000,0.00000000
ENJBNB,0.00362000,3495.00000000,0.00364600,4426.00000000
DATABTC,0.00000197,59263.00000000,0.00000198,104.00000000
DATAETH,0.00002918,274.00000000,0.00002936,1692.00000000
ONTUSDT,1.11070000,999.08000000,1.11120000,272.16000000
TRXBNB,0.00022080,253176.00000000,0.00022110,275245.00000000
TRXUSDT,0.07527000,1618.00000000,0.07528000,17129.20000000
ETCUSDT,72.92900000,2.93400000,72.97000000,15.23200000
ETCBNB,0.21298000,9.04000000,0.21440000,2.51000000
ICXUSDT,1.15660000,44.48000000,1.15850000,95.44000000
SCBTC,0.00000044,78001175.00000000,0.00000045,3912440.00000000
SCETH,0.00000664,642455.00000000,0.00000665,424383.00000000
SCBNB,0.00005100,7133.00000000,0.00005120,32741.00000000
NPXSBTC,0.00000000,0.00000000,0.00000000,0.00000000
NPXSETH,0.00000000,0.00000000,0.00000000,0.00000000
VENUSDT,0.00000000,0.00000000,0.00000000,0.00000000
KEYBTC,0.00000000,0.00000000,0.00000000,0.00000000
KEYETH,0.00000304,202456.00000000,0.00000307,984148.00000000
NASBTC,0.00001280,10283.24000000,0.00001290,1827.78000000
NASETH,0.00019020,168.69000000,0.00019150,1954.40000000
NASBNB,0.00000000,0.00000000,0.00000000,0.00000000
MFTBTC,0.00000000,0.00000000,0.00000000,0.00000000
MFTETH,0.00000363,13760.00000000,0.00000365,50000.00000000
MFTBNB,0.00002806,166.00000000,0.00002824,34135.00000000
DENTBTC,0.00000000,0.00000000,0.00000000,0.00000000
DENTETH,0.00000141,16204060.00000000,0.00000143,2366302.00000000
ARDRBTC,0.00000596,84.00000000,0.00000597,19500.00000000
ARDRETH,0.00000000,0.00000000,0.00000000,0.00000000
ARDRBNB,0.00000000,0.00000000,0.00000000,0.00000000
NULSUSDT,0.54620000,530.00000000,0.54700000,64.28000000
HOTBTC,0.00000000,0.00000000,0.00000000,0.00000000
HOTETH,0.00000284,3120669.00000000,0.00000286,230322.00000000
VETBTC,0.00000289,1405454.00000000,0.00000290,220979.00000000
VETETH,0.00004281,532.00000000,0.00004288,149684.00000000
VETUSDT,0.11228000,99116.00000000,0.11237000,3464.50000000
VETBNB,0.00032910,174213.00000000,0.00032990,1167.00000000
DOCKBTC,0.00000126,1361629.00000000,0.00000127,77079.00000000
DOCKETH,0.00000000,0.00000000,0.00000000,0.00000000
POLYBTC,0.00000618,15691.00000000,0.00000622,3905.00000000
POLYBNB,0.00000000,0.00000000,0.00000000,0.00000000
PHXBTC,0.00000000,0.00000000,0.00000000,0.00000000
PHXETH,0.00000000,0.00000000,0.00000000,0.00000000
PHXBNB,0.00000000,0.00000000,0.00000000,0.00000000
HCBTC,0.00000000,0.00000000,0.00000000,0.00000000
HCETH,0.00000000,0.00000000,0.00000000,0.00000000
GOBTC,0.00000077,170716.00000000,0.00000078,150.00000000
GOBNB,0.00000000,0.00000000,0.00000000,0.00000000
PAXBTC,0.00000000,0.00000000,0.00000000,0.00000000
PAXBNB,0.00000000,0.00000000,0.00000000,0.00000000
PAXUSDT,0.99830000,632229.31000000,0.99840000,101424.37000000
PAXETH,0.00000000,0.00000000,0.00000000,0.00000000
RVNBTC,0.00000204,147935.00000000,0.00000205,89537.00000000
RVNBNB,0.00023190,652.00000000,0.00023320,2308.00000000
DCRBTC,0.00338000,7.09100000,0.00339100,1.50000000
DCRBNB,0.00000000,0.00000000,0.00000000,0.00000000
USDCBNB,0.00000000,0.00000000,0.00000000,0.00000000
MITHBTC,0.00000123,263109.00000000,0.00000124,4708.00000000
MITHBNB,0.00014000,114817.00000000,0.00014100,380.00000000
BCHABCBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCHSVBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCHABCUSDT,0.00000000,0.00000000,0.00000000,0.00000000
BCHSVUSDT,0.00000000,0.00000000,0.00000000,0.00000000
BNBPAX,334.72000000,10.00000000,343.29000000,13.21890000
BTCPAX,38787.25000000,0.06441700,38819.91000000,0.06442000
ETHPAX,2623.55000000,0.76174000,2632.37000000,1.30416000
XRPPAX,0.92270000,712.63000000,0.93300000,1509.10000000
EOSPAX,0.00000000,0.00000000,0.00000000,0.00000000
XLMPAX,0.00000000,0.00000000,0.00000000,0.00000000
RENBTC,0.00001215,20095.00000000,0.00001218,746.00000000
RENBNB,0.00000000,0.00000000,0.00000000,0.00000000
BNBTUSD,340.39000000,1.93400000,342.02000000,13.07600000
XRPTUSD,0.92360000,5820.48000000,0.93010000,20768.52000000
EOSTUSD,5.36210000,279.42000000,5.39060000,302.69000000
XLMTUSD,0.00000000,0.00000000,0.00000000,0.00000000
BNBUSDC,340.92000000,57.70090000,341.68000000,70.70090000
BTCUSDC,38820.00000000,0.11097800,38844.29000000,0.02148700
ETHUSDC,2624.78000000,6.40786000,2626.67000000,0.46786000
XRPUSDC,0.92540000,1087.00000000,0.92670000,665.00000000
EOSUSDC,5.38020000,200.00000000,5.40050000,300.00000000
XLMUSDC,0.00000000,0.00000000,0.00000000,0.00000000
USDCUSDT,0.99830000,1267427.63000000,0.99840000,39306.71000000
ADATUSD,1.54430000,195.89000000,1.55530000,425.95000000
TRXTUSD,0.07516000,8740.30000000,0.07562000,146.90000000
NEOTUSD,0.00000000,0.00000000,0.00000000,0.00000000
TRXXRP,0.08134000,71.30000000,0.08151000,6633.10000000
XZCXRP,0.00000000,0.00000000,0.00000000,0.00000000
PAXTUSD,0.00000000,0.00000000,0.00000000,0.00000000
USDCTUSD,0.00000000,0.00000000,0.00000000,0.00000000
USDCPAX,0.00000000,0.00000000,0.00000000,0.00000000
LINKUSDT,25.41800000,0.00900000,25.41900000,429.88900000
LINKTUSD,25.38400000,14.04500000,25.59900000,25.95700000
LINKPAX,0.00000000,0.00000000,0.00000000,0.00000000
LINKUSDC,25.40300000,39.60000000,25.49500000,38.87000000
WAVESUSDT,16.83200000,3.05900000,16.85400000,3.26000000
WAVESTUSD,0.00000000,0.00000000,0.00000000,0.00000000
WAVESPAX,0.00000000,0.00000000,0.00000000,0.00000000
WAVESUSDC,0.00000000,0.00000000,0.00000000,0.00000000
BCHABCTUSD,0.00000000,0.00000000,0.00000000,0.00000000
BCHABCPAX,0.00000000,0.00000000,0.00000000,0.00000000
BCHABCUSDC,0.00000000,0.00000000,0.00000000,0.00000000
BCHSVTUSD,0.00000000,0.00000000,0.00000000,0.00000000
BCHSVPAX,0.00000000,0.00000000,0.00000000,0.00000000
BCHSVUSDC,0.00000000,0.00000000,0.00000000,0.00000000
LTCTUSD,179.29000000,0.11000000,180.35000000,3.67408000
LTCPAX,178.08000000,3.67488000,179.95000000,3.67488000
LTCUSDC,179.21000000,110.40269000,179.77000000,43.52480000
TRXPAX,0.07509000,8740.30000000,0.07570000,155.50000000
TRXUSDC,0.07530000,220858.30000000,0.07549000,26520.40000000
BTTBTC,0.00000000,0.00000000,0.00000000,0.00000000
BTTBNB,0.00001097,167462.00000000,0.00001101,2314568.00000000
BTTUSDT,0.00373900,24273.00000000,0.00374090,298908.00000000
BNBUSDS,0.00000000,0.00000000,0.00000000,0.00000000
BTCUSDS,0.00000000,0.00000000,0.00000000,0.00000000
USDSUSDT,0.00000000,0.00000000,0.00000000,0.00000000
USDSPAX,0.00000000,0.00000000,0.00000000,0.00000000
USDSTUSD,0.00000000,0.00000000,0.00000000,0.00000000
USDSUSDC,0.00000000,0.00000000,0.00000000,0.00000000
BTTPAX,0.00000000,0.00000000,0.00000000,0.00000000
BTTTUSD,0.00373860,1491385.00000000,0.00377740,2942006.00000000
BTTUSDC,0.00373370,144565.00000000,0.00376710,175927.00000000
ONGBNB,0.00000000,0.00000000,0.00000000,0.00000000
ONGBTC,0.00002233,8.00000000,0.00002238,88.00000000
ONGUSDT,0.86390000,310.81000000,0.86810000,3638.00000000
HOTBNB,0.00002186,897612.00000000,0.00002201,9210.00000000
HOTUSDT,0.00747100,155150.00000000,0.00747900,155150.00000000
ZILUSDT,0.10509000,3000.00000000,0.10510000,13514.80000000
ZRXBNB,0.00000000,0.00000000,0.00000000,0.00000000
ZRXUSDT,0.97320000,370.95000000,0.97430000,924.32000000
FETBNB,0.00082900,14364.00000000,0.00083300,742.00000000
FETBTC,0.00000731,4859.00000000,0.00000732,35095.00000000
FETUSDT,0.28306000,957.20000000,0.28371000,5609.50000000
BATUSDT,0.72240000,2383.51000000,0.72310000,1356.26000000
XMRBNB,0.73100000,59.03500000,0.73500000,2.18200000
XMRUSDT,249.69000000,28.20864000,249.75000000,4.86414000
ZECBNB,0.42100000,4.57900000,0.42290000,0.25900000
ZECUSDT,143.82000000,0.63570000,143.86000000,0.69401000
ZECPAX,0.00000000,0.00000000,0.00000000,0.00000000
ZECTUSD,0.00000000,0.00000000,0.00000000,0.00000000
ZECUSDC,143.38000000,28.11149000,144.82000000,24.86028000
IOSTBNB,0.00009670,306960.00000000,0.00009740,26966.00000000
IOSTUSDT,0.03297100,59420.00000000,0.03300400,13100.00000000
CELRBNB,0.00010810,124915.00000000,0.00010880,209056.00000000
CELRBTC,0.00000095,844618.00000000,0.00000096,341067.00000000
CELRUSDT,0.03696000,765.10000000,0.03700000,156830.40000000
ADAPAX,0.00000000,0.00000000,0.00000000,0.00000000
ADAUSDC,1.54520000,5384.27000000,1.55020000,25634.45000000
NEOPAX,0.00000000,0.00000000,0.00000000,0.00000000
NEOUSDC,51.87800000,13.11800000,52.17000000,112.58200000
DASHBNB,0.55540000,5.63100000,0.55840000,1.65900000
DASHUSDT,189.75000000,8.21870000,189.85000000,0.80720000
NANOUSDT,7.50560000,12.35000000,7.53970000,30.22000000
OMGBNB,0.00000000,0.00000000,0.00000000,0.00000000
OMGUSDT,6.41500000,3.11000000,6.41990000,3.11000000
THETAUSDT,6.61100000,32.02800000,6.61300000,118.05200000
ENJUSDT,1.23780000,2633.93000000,1.23900000,1060.54000000
MITHUSDT,0.04791000,2929.00000000,0.04812000,7702.10000000
MATICBNB,0.00526180,305.00000000,0.00526600,12.00000000
MATICBTC,0.00004628,90.00000000,0.00004631,42.00000000
MATICUSDT,1.79396000,103.20000000,1.79481000,504.90000000
ATOMBNB,0.04088000,78.24000000,0.04107000,78.52000000
ATOMBTC,0.00036000,2.35000000,0.00036060,152.55000000
ATOMUSDT,13.95000000,50.00000000,13.96700000,26.50600000
ATOMUSDC,13.94700000,679.74700000,14.04800000,182.18100000
ATOMPAX,0.00000000,0.00000000,0.00000000,0.00000000
ATOMTUSD,0.00000000,0.00000000,0.00000000,0.00000000
ETCUSDC,0.00000000,0.00000000,0.00000000,0.00000000
ETCPAX,0.00000000,0.00000000,0.00000000,0.00000000
